# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1415061909;sdb;1382.17;9993.73;59408.00;50.21;2.97;2.15;0.04;4.89
axle;60;1415061909;sda;4.78;5.20;378.67;80.25;0.00;0.10;0.10;0.05
axle;60;1415061969;sdb;252.37;10672.53;9760.67;80.97;0.84;3.33;0.09;2.16
axle;60;1415061969;sda;3.42;2.13;53.73;16.35;0.00;0.06;0.06;0.02
axle;60;1415062029;sdb;99.92;9311.47;7029.87;163.55;0.04;0.41;0.14;1.38
axle;60;1415062029;sda;3.75;7.07;61.07;18.17;0.00;0.11;0.11;0.04
axle;60;1415062089;sdb;97.60;9968.13;7142.13;175.31;0.04;0.44;0.11;1.07
axle;60;1415062089;sda;3.42;7.60;56.27;18.69;0.00;0.27;0.16;0.05
axle;60;1415062149;sdb;97.47;8537.07;7321.47;162.71;0.06;0.58;0.17;1.66
axle;60;1415062149;sda;3.90;3.47;63.33;17.13;0.00;0.15;0.10;0.04
axle;60;1415062209;sdb;94.38;8946.67;7266.13;171.78;0.03;0.35;0.18;1.73
axle;60;1415062209;sda;3.80;9.33;68.53;20.49;0.00;0.18;0.14;0.05
axle;60;1415062269;sdb;97.50;11261.47;7727.87;194.76;0.05;0.54;0.21;2.04
axle;60;1415062269;sda;3.93;8.67;57.07;16.71;0.00;0.44;0.36;0.14
axle;60;1415062329;sdb;93.65;10454.80;7645.07;193.27;0.03;0.32;0.16;1.47
axle;60;1415062329;sda;3.48;11.73;54.93;19.14;0.00;0.59;0.38;0.13
axle;60;1415062389;sdb;94.87;8747.60;8356.27;180.29;0.03;0.32;0.14;1.29
axle;60;1415062389;sda;3.62;6.53;59.47;18.25;0.00;0.09;0.09;0.03
